X64n1271_001:0779c24	玉林和尚和牧牛圖頌(師諱通琇繼住報恩)	玉 林 和 尚 和 牧 牛 圖 頌 師 諱 通 琇 繼 住 報 恩 
X64n1271_001:0780a01	未牧	未 牧 
X64n1271_001:0780a02	　牛本荷人人不識　　胡行亂躍隔迢遙	 牛 本 荷 人 人 不 識 胡 行 亂 躍 隔 迢 遙 
X64n1271_001:0780a03	　一回摸著牛兒鼻　　大千沙界沒莖苗	 一 回 摸 著 牛 兒 鼻 大 千 沙 界 沒 莖 苗 
X64n1271_001:0780a04	初調	初 調 
X64n1271_001:0780a05	　寄言識得牛兒者　　莫學時流強策鞭	 寄 言 識 得 牛 兒 者 莫 學 時 流 強 策 鞭 
X64n1271_001:0780a06	　我是牛兮牛是我　　分明無二若為牽	 我 是 牛 兮 牛 是 我 分 明 無 二 若 為 牽 
X64n1271_001:0780a07	受制	受 制 
X64n1271_001:0780a08	　牧童但不迷頭去　　純白牛兒到處隨	 牧 童 但 不 迷 頭 去 純 白 牛 兒 到 處 隨 
X64n1271_001:0780a09	　非比道途販賣客　　橫騎倒捋自無疲	 非 比 道 途 販 賣 客 橫 騎 倒 捋 自 無 疲 
X64n1271_001:0780a10	回首	回 首 
X64n1271_001:0780a11	　莫道功深始轉頭　　牛無背面與剛柔	 莫 道 功 深 始 轉 頭 牛 無 背 面 與 剛 柔 
X64n1271_001:0780a12	　山童但得狂心歇　　鼻孔彌天絕去留	 山 童 但 得 狂 心 歇 鼻 孔 彌 天 絕 去 留 
X64n1271_001:0780a13	馴伏	馴 伏 
X64n1271_001:0780a14	　尋常逐逐營營者　　謾道長調方怗然	 尋 常 逐 逐 營 營 者 謾 道 長 調 方 怗 然 
X64n1271_001:0780a15	　見徹斯牛無往返　　始如多載枉拘牽	 見 徹 斯 牛 無 往 返 始 如 多 載 枉 拘 牽 
