T21n1308_001:0428b24	曩謨囉怛曩(二合)怛囉(二合)夜(引)野曩莫素麼薩	曩 謨 囉 怛 曩 二 合 怛 囉 二 合 夜 引 野 曩 莫 素 麼 薩 
T21n1308_001:0428b25	囉嚩(二合)諾訖灑(二合)怛囉(二合)邏(引)惹(上)野者(去)	囉 嚩 二 合 諾 訖 灑 二 合 怛 囉 二 合 邏 引 惹 上 野 者 去 
T21n1308_001:0428b26	覩地波阿(去引)路迦羅野怛儞也(二合)他努摩底	覩 地 波 阿 去 引 路 迦 羅 野 怛 儞 也 二 合 他 努 摩 底 
T21n1308_001:0428b27	跛努摩底薩賓(上)儞佉(上)細娑嚩(二合引)賀(引)	跛 努 摩 底 薩 賓 上 儞 佉 上 細 娑 嚩 二 合 引 賀 引 
T21n1308_001:0428b28	北斗七星真言(若羅睺計都闇行人本命星宮。須持此北斗陀羅尼朱書帶之羅睺在殺。為	北斗七星 真 言 若 羅 睺 計 都 闇 行 人 本 命 星 宮 須 持 此 北 斗 陀 羅 尼 朱 書 帶 之 羅 睺 在 殺 為 
T21n1308_001:0428b29	河剋。若人犯天崗河剋又被羅睺計都人命星。的有不吉相也。梵云。惟有上將。若被此二曜如臨本命。惟計都領	河 剋 若 人 犯 天 崗 河 剋 又 被 羅 睺 計 都 人 命 星 的 有 不 吉 相 也 梵 云 惟 有 上 將 若 被 此 二 曜 如 臨 本 命 惟 計 都 領 
T21n1308_001:0428c01	被所向心剋餘凶也)。	被 所 向 心 剋 餘 凶 也 
T21n1308_001:0428c02	唵颯跢曩而(齒伊反)曩野伴惹蜜惹野(二合)野	唵 颯 跢 曩 而 齒 伊 反 曩 野 伴 惹 蜜 惹 野 二 合 野 
T21n1308_001:0428c03	染普咃摩娑嚩(二合引)弭曩(名位)囉訖仙(二合)婆嚩	染 普 咃 摩 娑 嚩 二 合 引 弭 曩 名 位 囉 訖 仙 二 合 婆 嚩 
T21n1308_001:0428c04	都娑嚩(二合)賀(引)	都 娑 嚩 二 合 賀 引 
T21n1308_001:0428c05	日天真言	日 天 真 言 
T21n1308_001:0428c06	曩謨囉怛曩(二合)他囉夜(引)野曩莫素哩野薩	曩 謨 囉 怛 曩 二 合 他 囉 夜 引 野 曩 莫 素 哩 野 薩 
T21n1308_001:0428c07	嚩曩乞灑乞灑(二合)怛囉(二合)囉惹野唵(引)阿	嚩 曩 乞 灑 乞 灑 二 合 怛 囉 二 合 囉 惹 野 唵 引 阿 
T21n1308_001:0428c08	謨伽寫野(名位)設底(去)娑嚩(二合引)賀(引)	謨 伽 寫 野 名 位 設 底 去 娑 嚩 二 合 引 賀 引 
T21n1308_001:0428c09	月天真言	月 天 真 言 
T21n1308_001:0428c10	唵戰(上)怛囉(二合)曩乞灑(二合引)怛羅(二合)囉惹野	唵 戰 上 怛 囉 二 合 曩 乞 灑 二 合 引 怛 羅 二 合 囉 惹 野 
T21n1308_001:0428c11	(名位)設底娑嚩(二合)賀(引)	 名 位 設 底 娑 嚩 二 合 賀 引 
T21n1308_001:0428c12	南方火星真言	南 方 火 星 真 言 
T21n1308_001:0428c13	唵阿誐囉迦嚕儗野(名位)娑嚩(二合)賀(引)	唵 阿 誐 囉 迦 嚕 儗 野 名 位 娑 嚩 二 合 賀 引 
T21n1308_001:0428c14	北方水星真言	北 方 水 星 真 言 
T21n1308_001:0428c15	唵母馱曩乞赦(二合)怛羅(二合)娑嚩弭曩(名位)契	唵 母 馱 曩 乞 赦 二 合 怛 羅 二 合 娑 嚩 弭 曩 名 位 契 
T21n1308_001:0428c16	努(二合)摩莎縛(二合)賀(引)	努 二 合 摩 莎 縛 二 合 賀 引 
T21n1308_001:0428c17	東方木星真言	東 方 木 星 真 言 
T21n1308_001:0428c18	唵婆囉(二合)訶薩鉢(二合)底曩摩比跢嚩曩(二合)	唵 婆 囉 二 合 訶 薩 鉢 二 合 底 曩 摩 比 跢 嚩 曩 二 合 
T21n1308_001:0428c19	野(名位)摩囉嚩囉馱(二合)寧娑嚩(二合引)賀(引)	野 名 位 摩 囉 嚩 囉 馱 二 合 寧 娑 嚩 二 合 引 賀 引 
T21n1308_001:0428c20	西方金星真言	西 方 金 星 真 言 
